client_hash,recency,frequency,monetary
0002a829ad89238ec96d22d7666c09f86fc8e209d55f2cfa4c1b8f4147485465,194,1,148.19
00040249691338dfd0ed04477561b3553d23eb6f446344040a1d46b1f9ca7eda,277,1,119.97
0004083d471868acd94861e331312ebdf505578ec600b657cf666955814f5345,472,1,167.95
00043d712019889689b32f039ddcfe749ba14fa5b1ad2c82eb9c7f68c259bc07,525,1,173.55
0006494d8bb2603742881a0d9e50aee30619d3221c35320136a3d546b8790b44,156,1,191.91
0007f60a223c442f77c5332bee767b63b419186ec86baf5bbd6f093f21183799,541,1,298.04
000bbd112196220a2a826a15065b83fe5af4881517571b7f9b4dccf11c649039,352,1,486.8
000c28e42e0699bbdf91472a602822f82a26dbd6f86b253fd2374913fe31cca6,12,2,563.0
000cb90b3371b157bc4f0260ac4a64f96c9002eaff9957aab57d441ecc6ee6f0,541,1,199.46
000cb9d294b2231c6dced516ee0640cc29a9614be230bb958bed4767af67e084,60,1,323.27
000e79afe393369ca41e1fc84f5a1539e5d0c3522e93d3ec9a7ecf4d4afa0b05,285,1,119.03
000ec1a8444cbbfe7a01fe8bdb642f0777e5dfd7588f95cf1b6df63a608bfe83,538,1,143.18
000ed65ef3e30efae1f4f32a5c72cd4a3bfd79dab9d18ba684b3fbf75bd658c2,314,1,254.6
000f07c90d083bf2160063170dadd00e824a425c14b5bf157d338041850acd88,527,1,294.01
000f5c7b02e289dcbd113fc6e17b3e43d0f6853cb26f1cb4e5eae3c76c4b8e99,57,1,190.88
000f69a2b33480b2d379a03eb5bdc6ba2389b0de15e351ca155b1ca9380aff14,299,1,304.07
0010784f1d681b5dbc30c398bda9c1596f5ed6397f9ae892ae057fea4f012977,559,1,318.16
00113fec06bcb245359f64e455b3eab9c50d0c4d4bd7477cfd9e2a360f0d3885,242,1,472.95
001248d660134b3eb4110d316803e8a4a92e20e3e604facdab2a61a0cf1f19ba,467,1,211.95
0012e9c3d2d81b2880bf30498c946158d53418fe74a6d08bf2862ea77c158d03,402,1,189.17
00142e4c58f57a7776f22e8f48923ea7f6da5b91f12fb0d9066e2aaf5631aa1d,488,3,1122.75
0015364d4082069cf3e2d8d55743ff87a36ae8bcd48c99f168a95ad0f88d5f0a,524,1,153.6
