Order,Creation Date,Total Value,Client Hash
1475411371975-01,2024-11-10 01:31:21+00:00,580.0,907d8e6458374635e65d67119a277600def3796de5280f1443b284a8532e04f0
1475411371975-01,2024-11-10 01:31:21+00:00,580.0,907d8e6458374635e65d67119a277600def3796de5280f1443b284a8532e04f0
1475411371975-01,2024-11-10 01:31:21+00:00,580.0,907d8e6458374635e65d67119a277600def3796de5280f1443b284a8532e04f0
1475411371975-01,2024-11-10 01:31:21+00:00,580.0,907d8e6458374635e65d67119a277600def3796de5280f1443b284a8532e04f0
1475411371975-01,2024-11-10 01:31:21+00:00,580.0,907d8e6458374635e65d67119a277600def3796de5280f1443b284a8532e04f0
1475731372108-01,2024-11-11 10:29:20+00:00,267.41,389361c3883128ff34aba6f57644fe35ff9ea05b822b3eefa14b584e94e83998
1475731372108-01,2024-11-11 10:29:20+00:00,267.41,389361c3883128ff34aba6f57644fe35ff9ea05b822b3eefa14b584e94e83998
1475391371973-01,2024-11-10 00:08:21+00:00,102.65,65d84746d39dcd34ca2c27b1b77208b44a1f48080e1dfdcbe312c1884163baf0
1475391371973-01,2024-11-10 00:08:21+00:00,102.65,65d84746d39dcd34ca2c27b1b77208b44a1f48080e1dfdcbe312c1884163baf0
1475731372106-01,2024-11-11 10:28:59+00:00,126.0,5c081390aae7c2c2b6982a4cbdc972cb283b0d1252cd82e6e1ceb4448edc7b20
1475731372104-01,2024-11-11 10:21:45+00:00,187.36,6fa0d6cb6abe647c38baf253ed6638c8b85cb2cfaf0b65133892a11bf0d76a62
1475381371971-01,2024-11-09 23:02:09+00:00,183.9,ad175fc77ada4d0b647e19a02020cc74db7edfdae9e1995f5f0a8828ba800cb0
1475731372102-01,2024-11-11 10:03:50+00:00,113.85,9cea2d17f05318cea42a4bc6c69951e2a9a9db7c21f1f3e1b86b729061857878
1475381371969-01,2024-11-09 22:52:40+00:00,432.0,18419cfb622f109648e3f813655a64be33c9623248d98e844b0b0a8020f7b60e
1475381371969-01,2024-11-09 22:52:40+00:00,432.0,18419cfb622f109648e3f813655a64be33c9623248d98e844b0b0a8020f7b60e
1475381371969-01,2024-11-09 22:52:40+00:00,432.0,18419cfb622f109648e3f813655a64be33c9623248d98e844b0b0a8020f7b60e
1475381371969-01,2024-11-09 22:52:40+00:00,432.0,18419cfb622f109648e3f813655a64be33c9623248d98e844b0b0a8020f7b60e
1475731372100-01,2024-11-11 09:56:04+00:00,192.47,78c04d377cf3683f88747cd82814ae80808f867b2281ccf78c061da86353a342
1475381371967-01,2024-11-09 22:30:09+00:00,290.69,f1f48a735b1465a24e0b9240e8c02419a60d9290904fffe0e4bcd8acf2f5ded2
1475381371967-01,2024-11-09 22:30:09+00:00,290.69,f1f48a735b1465a24e0b9240e8c02419a60d9290904fffe0e4bcd8acf2f5ded2
1475381371967-01,2024-11-09 22:30:09+00:00,290.69,f1f48a735b1465a24e0b9240e8c02419a60d9290904fffe0e4bcd8acf2f5ded2
1475731372098-01,2024-11-11 09:44:37+00:00,524.25,18d8f90e45eacddf4cd92671e98d3a9925bee2bf91483e3b576962f24aeab708
1475731372098-01,2024-11-11 09:44:37+00:00,524.25,18d8f90e45eacddf4cd92671e98d3a9925bee2bf91483e3b576962f24aeab708
1475731372098-01,2024-11-11 09:44:37+00:00,524.25,18d8f90e45eacddf4cd92671e98d3a9925bee2bf91483e3b576962f24aeab708
1475731372098-01,2024-11-11 09:44:37+00:00,524.25,18d8f90e45eacddf4cd92671e98d3a9925bee2bf91483e3b576962f24aeab708
1475371371965-01,2024-11-09 22:23:46+00:00,222.85,3ab352bbc63cdf6b67faf5ffe519e5732270ae2d600c59e2620cd3f2892f1fd2
1475371371965-01,2024-11-09 22:23:46+00:00,222.85,3ab352bbc63cdf6b67faf5ffe519e5732270ae2d600c59e2620cd3f2892f1fd2
1475721372096-01,2024-11-11 08:47:36+00:00,139.88,1ba99aaa3589f86215ed13b10abf89f8948cb656d1db9103f6b28cdbc859c2a3
1475371371963-01,2024-11-09 21:37:08+00:00,799.0,9929e443c539ec764702e86a8f68c0dead85295618ea247913cb011c1edf8b58
1475371371963-01,2024-11-09 21:37:08+00:00,799.0,9929e443c539ec764702e86a8f68c0dead85295618ea247913cb011c1edf8b58
1475371371963-01,2024-11-09 21:37:08+00:00,799.0,9929e443c539ec764702e86a8f68c0dead85295618ea247913cb011c1edf8b58
1475371371963-01,2024-11-09 21:37:08+00:00,799.0,9929e443c539ec764702e86a8f68c0dead85295618ea247913cb011c1edf8b58
1475371371963-01,2024-11-09 21:37:08+00:00,799.0,9929e443c539ec764702e86a8f68c0dead85295618ea247913cb011c1edf8b58
1475711372094-01,2024-11-11 08:24:55+00:00,86.21,960cf610fe58eb3f0e8e6d0ec0463744c6b507a494bb36c760517c3a88f615ec
1475371371961-01,2024-11-09 21:30:59+00:00,242.52,1d61f96f924f79b99b40ca598132054b405277e45273093cf5a24956e8ef7a30
1475371371961-01,2024-11-09 21:30:59+00:00,242.52,1d61f96f924f79b99b40ca598132054b405277e45273093cf5a24956e8ef7a30
1475371371961-01,2024-11-09 21:30:59+00:00,242.52,1d61f96f924f79b99b40ca598132054b405277e45273093cf5a24956e8ef7a30
